split,class_id,class_name,annotations,pct
train,0,capped,9525,18.13
train,1,eggs,6416,12.21
train,2,larves,10813,20.58
train,3,other,11589,22.06
train,4,pollen,14188,27.01
val,0,capped,2372,26.29
val,1,eggs,929,10.30
val,2,larves,1963,21.76
val,3,other,1472,16.32
val,4,pollen,2285,25.33
eval,0,capped,297,8.07
eval,1,eggs,833,22.64
eval,2,larves,546,14.84
eval,3,other,1564,42.51
eval,4,pollen,439,11.93
